sim_alpha,sim_beta,n,method_type,method_algo,parameter,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
1.0,2.5,50,mle,scipy,alpha,0.0014293663347169528,0.027660993449972138,0.06185186167931413,0.02186793541122769,0.003062565322676429,0.001275526718273461
1.0,2.5,50,mle,scipy,beta,0.007523585071002081,0.16397730472640293,0.3666644001354345,0.12963544187773168,0.10761083019366302,0.058109418533830524
1.0,2.5,100,mrr,beta,alpha,-0.01971404917096442,0.016656898154564743,0.037245956567897566,0.013168434230469997,0.0014984527592413724,0.001189966412010264
1.0,2.5,100,mrr,beta,beta,-0.18072224504141748,0.11601953179624418,0.25942755981410026,0.09172149338561447,0.08650265688568899,0.062027613239600564
1.0,2.5,100,mrr,bernard,alpha,-0.019530941633427945,0.016661398362763112,0.03725601933934202,0.01317199195743295,0.0014918664626991103,0.0011852781701735592
1.0,2.5,100,mrr,bernard,beta,-0.18474358872151947,0.1158582834343346,0.25906699751560996,0.09159401536246313,0.08782276093510838,0.06277410686704951
1.0,2.5,100,mle,scipy,alpha,-0.03496514758475431,0.016043233930643674,0.0358737616478504,0.012683290063932456,0.002252102965437076,0.0014285471931445757
1.0,2.5,100,mle,scipy,beta,-0.00707312269867284,0.05665239118740175,0.12667859778294036,0.044787647761760134,0.012888002773712059,0.007348912247572761
2.0,1.5,10,mrr,beta,alpha,-0.17968149433480005,0.17074921143842106,0.38180684388079417,0.1349891042057715,0.14890661223375729,0.12702336258528782
2.0,1.5,10,mrr,beta,beta,-0.256964690753832,0.1557551588549046,0.34827912304584496,0.12313526482571047,0.16306953033387878,0.10291877498448929
2.0,1.5,10,mrr,bernard,alpha,-0.17867323135884763,0.17076146911470763,0.3818342528782171,0.13499879474974313,0.14856204094106532,0.1267180384975344
2.0,1.5,10,mrr,bernard,beta,-0.2609607314119985,0.1551363220649833,0.3468953619166032,0.12264603138669586,0.1643696170344861,0.10359565299489516
2.0,1.5,10,mle,scipy,alpha,-0.29356560967656675,0.18466771323624348,0.41292956004567816,0.14599264603033832,0.2225894244323882,0.1914415968387759
2.0,1.5,10,mle,scipy,beta,0.1915438322941621,0.1271762607654072,0.28437476419568997,0.10054166208054889,0.1013842448990175,0.07335373306836597
2.0,1.5,50,mrr,beta,alpha,0.10183486115647863,0.08625818625126536,0.19287916807366712,0.06819308384725492,0.040132237728191224,0.02500973029785108
2.0,1.5,50,mrr,beta,beta,-0.06256208890155075,0.07506322601004135,0.16784647596888277,0.059342690677930944,0.026451966563863734,0.00843214639809367
2.0,1.5,50,mrr,bernard,alpha,0.10260808730348048,0.08629727754977302,0.19296657887445898,0.06822398823224936,0.04031730003008891,0.025140271898497116
2.0,1.5,50,mrr,bernard,beta,-0.0659379200019122,0.07489615051933893,0.16747288381429803,0.05921060590497847,0.026785542744640466,0.008190687227110126
2.0,1.5,50,mle,scipy,alpha,0.07183792192202429,0.08200339069690578,0.18336515598375516,0.06482937261472116,0.03205891136923235,0.01772270627246302
2.0,1.5,50,mle,scipy,beta,0.008863835737106297,0.0332082855086274,0.07425598381351205,0.026253454849106437,0.004489728489664453,0.002024447722085544
2.0,1.5,100,mrr,beta,alpha,0.09448908599258306,0.11851090463634045,0.26499843884185226,0.09369109655446116,0.06510752544260888,0.02177772851080141
