Estat 389: (0,2); t=14.2039
Estat 390: (0,3); t=14.2497
Estat 391: (1,3); t=14.2980
Estat 392: (2,3); t=14.3472
Estat 393: (3,3); t=14.3877
Estat 394: (4,3); t=14.4391
Estat 395: (5,3); t=14.4515
Estat 396: (6,3); t=14.4689
Estat 397: (6,3); t=14.4689
Estat 398: (5,2); t=14.4689
Estat 399: (4,1); t=14.4689
Estat 400: (3,0); t=14.5310
Estat 401: (4,0); t=14.5438
Estat 402: (5,0); t=14.5950
Estat 403: (6,0); t=14.6606
Estat 404: (7,0); t=14.7570
Estat 405: (8,0); t=14.7811
Estat 406: (9,0); t=14.8071
Estat 407: (9,3); t=14.8071
Estat 408: (8,2); t=14.8071
Estat 409: (7,1); t=14.8071
Estat 410: (6,0); t=14.8399
Estat 411: (7,0); t=15.0369
Estat 412: (7,3); t=15.0369
Estat 413: (6,2); t=15.0369
Estat 414: (5,1); t=15.0369
Estat 415: (4,0); t=15.0863
Estat 416: (5,0); t=15.2549
Estat 417: (6,0); t=15.2583
Estat 418: (7,0); t=15.2613
Estat 419: (8,0); t=15.3704
Estat 420: (8,3); t=15.3704
Estat 421: (7,2); t=15.3704
Estat 422: (6,1); t=15.3704
Estat 423: (5,0); t=15.4442
Estat 424: (6,0); t=15.5172
Estat 425: (6,3); t=15.5172
Estat 426: (5,2); t=15.5172
Estat 427: (4,1); t=15.5172
Estat 428: (3,0); t=15.6097
Estat 429: (4,0); t=15.6541
Estat 430: (4,3); t=15.6541
Estat 431: (3,2); t=15.6541
Estat 432: (2,1); t=15.6541
Estat 433: (1,0); t=15.7041
Estat 434: (1,3); t=15.7041
Estat 435: (0,2); t=15.7144
Estat 436: (1,2); t=15.7519
Estat 437: (2,2); t=15.7645
Estat 438: (3,2); t=15.8871
Estat 439: (3,3); t=15.8871
Estat 440: (2,2); t=15.8871
Estat 441: (1,1); t=15.8871
Estat 442: (0,0); t=15.9035
Estat 443: (0,3); t=16.0927
Estat 444: (0,3); t=16.0935
Estat 445: (1,3); t=16.2013
Estat 446: (2,3); t=16.2953
Estat 447: (3,3); t=16.3884
Estat 448: (4,3); t=16.4099
Estat 449: (4,3); t=16.4099
Estat 450: (3,2); t=16.4099
Estat 451: (2,1); t=16.4099
Estat 452: (1,0); t=16.4870
